city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Carson City,USC00265194,TMIN,39,-28,-56,-50,-33,-11,11,0,0,0,-39,-39,-28,6,-50,-83,-117,-111,-89,-11,-39,-28,-61,-67,-67,-50,-6,67,44,50,-9999
Carson City,USC00268761,TMIN,-9999,-9999,-28,-11,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11,-9999,-9999,-9999,-83,-56,17,11,-11,39,-33,-22,-9999,-9999,94,72,-9999,-9999,-9999
Carson City,USR0000NFIS,TMIN,11,-17,-39,-17,17,33,78,44,44,28,-22,-28,11,22,-6,-83,-83,-61,6,11,-28,0,-44,-39,-17,50,133,106,28,22,-9999
Carson City,USR0000NGAL,TMIN,0,-39,-22,-11,17,56,67,39,56,6,-6,-28,0,6,-33,-83,-83,-56,17,0,-17,0,-39,-33,0,44,106,28,11,0,-9999
Carson City,USR0000NLIT,TMIN,-44,-83,-100,-67,-44,-28,-28,-44,-28,-17,61,-56,50,33,-39,-111,-144,-133,-6,-6,-39,-33,-78,-94,-22,-17,89,61,0,0,-9999
Carson City,USS0019K04S,TMIN,-28,-61,-50,-11,17,28,28,33,33,28,33,11,11,-11,-67,-72,-17,-22,11,-11,-33,-39,-44,-39,-11,11,39,17,-9999,-9999,-9999
Carson City,USS0019K07S,TMIN,-56,-78,-61,6,28,56,44,50,67,50,39,11,-11,-17,-83,-83,-17,-11,-11,-39,-50,-56,-67,-50,33,50,39,-39,-9999,-9999,-9999
Carson City,USS0019L24S,TMIN,-50,-83,-50,-11,11,28,28,33,33,11,0,-11,-6,-33,-61,-61,-28,-22,-6,-39,-61,-50,-44,-56,-11,17,-994,-994,-9999,-9999,-9999
Concord,USC00277833,TMIN,-6,17,-11,-22,17,6,17,-11,-6,-28,-22,-6,0,-17,-67,-78,-61,-6,-67,-78,-78,-100,-78,11,33,17,-28,-44,-128,-128,-9999
Concord,USW00014745,TMIN,-10,22,-16,-38,-16,-16,22,0,-27,-32,-27,39,-32,-27,-82,-88,0,-55,-60,-49,-66,-116,0,6,0,-5,-21,-9999,-149,-9999,-9999
Trenton,USC00283951,TMIN,0,33,17,33,89,72,56,-28,-11,-22,-6,44,0,-11,-50,-50,-28,-50,-78,-78,-44,-89,-78,33,128,44,-11,-39,-83,-67,-9999
Trenton,USC00366194,TMIN,56,39,22,56,72,78,28,-28,6,-17,11,39,-11,-39,-50,-44,28,-56,-72,-50,-67,-89,0,61,39,0,-39,-56,-78,-9999,-9999
Trenton,USW00014792,TMIN,61,39,28,89,94,83,28,-10,22,0,39,61,6,-5,-21,-38,33,-55,-71,-38,-43,-71,22,106,61,6,-10,-49,-71,-9999,-9999
Santa Fe,USC00298088,TMIN,67,67,6,-17,-11,0,11,11,-6,22,0,-56,-111,-111,-33,-67,-117,-117,-83,-50,-33,-28,-11,-106,-117,-111,-33,-33,6,-9999,-9999
Santa Fe,USS0005P09S,TMIN,11,-17,-72,-61,-22,0,6,0,-6,-22,-50,-50,-56,-39,-56,-139,-122,-94,-56,-50,-56,-50,-150,-156,-150,-67,6,6,-9999,-9999,-9999
Santa Fe,USW00023049,TMIN,44,50,0,-27,-32,-10,-21,-27,0,22,-27,-93,-105,-27,6,-71,-116,-93,-77,-55,-43,-32,-43,-116,-132,-16,-27,-43,-9999,-9999,-9999
Albany,USC00308600,TMIN,6,39,-6,0,78,50,44,22,-9999,6,17,78,-11,-11,-28,-28,-11,-11,-9999,-50,-61,-72,-61,17,-61,33,-11,-28,-67,-72,-9999
